city,year,weekofyear,total_cases
ag,1999,18,4
ag,1999,19,5
ag,1999,20,4
ag,1999,21,3
ag,1999,22,6
ag,1999,23,2
ag,1999,24,4
ag,1999,25,5
ag,1999,26,10
ag,1999,27,6
ag,1999,28,8
ag,1999,29,2
ag,1999,30,6
ag,1999,31,17
ag,1999,32,23
ag,1999,33,13
ag,1999,34,21
ag,1999,35,28
ag,1999,36,24
ag,1999,37,20
ag,1999,38,40
ag,1999,39,27
ag,1999,40,42
ag,1999,41,33
ag,1999,42,43
ag,1999,43,37
ag,1999,44,57
ag,1999,45,71
ag,1999,46,44
ag,1999,47,56
ag,1999,48,53
ag,1999,49,52
ag,1999,50,47
ag,1999,51,26
ag,1999,52,27
ag,2000,1,21
ag,2000,2,21
ag,2000,3,26
ag,2000,4,34
ag,2000,5,37
ag,2000,6,17
ag,2000,7,19
ag,2000,8,25
ag,2000,9,18
ag,2000,10,21
ag,2000,11,17
ag,2000,12,17
ag,2000,13,16
ag,2000,14,16
ag,2000,15,15
ag,2000,16,23
ag,2000,17,16
ag,2000,18,17
ag,2000,19,12
ag,2000,20,17
ag,2000,21,10
ag,2000,22,15
ag,2000,23,19
ag,2000,24,21
ag,2000,25,14
ag,2000,26,18
ag,2000,27,13
ag,2000,28,14
ag,2000,29,18
ag,2000,30,23
ag,2000,31,25
ag,2000,32,62
ag,2000,33,60
ag,2000,34,76
ag,2000,35,66
ag,2000,36,64
ag,2000,37,68
ag,2000,38,89
ag,2000,39,92
ag,2000,40,140
ag,2000,41,116
ag,2000,42,142
ag,2000,43,129
ag,2000,44,140
ag,2000,45,140
ag,2000,46,127
ag,2000,47,129
ag,2000,48,169
ag,2000,49,141
ag,2000,50,108
ag,2000,51,78
ag,2000,52,70
ag,2001,1,81
ag,2001,2,104
ag,2001,3,90
ag,2001,4,85
ag,2001,5,55
ag,2001,6,53
ag,2001,7,65
ag,2001,8,33
ag,2001,9,38
ag,2001,10,59
ag,2001,11,40
ag,2001,12,37
ag,2001,13,29
ag,2001,14,30
ag,2001,15,30
ag,2001,16,28
ag,2001,17,23
ag,2001,18,24
ag,2001,19,29
ag,2001,20,26
ag,2001,21,23
ag,2001,22,20
ag,2001,23,19
ag,2001,24,20
ag,2001,25,26
ag,2001,26,29
ag,2001,27,31
ag,2001,28,28
ag,2001,29,26
ag,2001,30,32
ag,2001,31,35
ag,2001,32,33
ag,2001,33,30
ag,2001,34,52
ag,2001,35,59
ag,2001,36,67
ag,2001,37,65
ag,2001,38,74
ag,2001,39,70
ag,2001,40,61
ag,2001,41,53
ag,2001,42,76
ag,2001,43,61
ag,2001,44,57
ag,2001,45,44
ag,2001,46,34
ag,2001,47,47
ag,2001,48,60
ag,2001,49,60
ag,2001,50,53
ag,2001,51,36
ag,2001,52,31
ag,2002,53,30
ag,2002,1,32
ag,2002,2,28
ag,2002,3,33
ag,2002,4,33
ag,2002,5,35
ag,2002,6,22
ag,2002,7,13
ag,2002,8,13
ag,2002,9,21
ag,2002,10,17
ag,2002,11,11
ag,2002,12,8
ag,2002,13,8
ag,2002,14,6
ag,2002,15,6
ag,2002,16,7
ag,2002,17,12
ag,2002,18,17
ag,2002,19,10
ag,2002,20,10
ag,2002,21,18
ag,2002,22,19
ag,2002,23,12
ag,2002,24,22
ag,2002,25,12
ag,2002,26,21
ag,2002,27,18
ag,2002,28,16
ag,2002,29,16
ag,2002,30,22
ag,2002,31,17
ag,2002,32,25
ag,2002,33,23
ag,2002,34,12
ag,2002,35,25
ag,2002,36,28
ag,2002,37,27
ag,2002,38,18
ag,2002,39,23
ag,2002,40,23
ag,2002,41,29
ag,2002,42,38
ag,2002,43,36
ag,2002,44,43
ag,2002,45,46
ag,2002,46,31
ag,2002,47,25
ag,2002,48,40
ag,2002,49,31
ag,2002,50,38
ag,2002,51,30
ag,2003,52,22
ag,2003,1,31
ag,2003,2,26
ag,2003,3,35
ag,2003,4,36
ag,2003,5,39
ag,2003,6,25
ag,2003,7,31
ag,2003,8,37
ag,2003,9,33
ag,2003,10,25
ag,2003,11,24
ag,2003,12,18
ag,2003,13,23
ag,2003,14,13
ag,2003,15,18
ag,2003,16,14
ag,2003,17,17
ag,2003,18,22
ag,2003,19,13
ag,2003,20,24
ag,2003,21,31
ag,2003,22,34
ag,2003,23,31
ag,2003,24,31
ag,2003,25,38
ag,2003,26,49
ag,2003,27,42
ag,2003,28,49
ag,2003,29,55
ag,2003,30,80
ag,2003,31,84
ag,2003,32,72
ag,2003,33,89
ag,2003,34,115
ag,2003,35,179
ag,2003,36,202
ag,2003,37,272
ag,2003,38,302
ag,2003,39,395
ag,2003,40,426
ag,2003,41,461
ag,2003,42,381
ag,2003,43,333
ag,2003,44,353
ag,2003,45,410
ag,2003,46,364
ag,2003,47,359
ag,2003,48,288
ag,2003,49,221
ag,2003,50,149
ag,2003,51,112
ag,2004,52,154
ag,2004,1,91
ag,2004,2,72
ag,2004,3,56
ag,2004,4,46
ag,2004,5,37
ag,2004,6,26
ag,2004,7,17
ag,2004,8,17
ag,2004,9,20
ag,2004,10,11
ag,2004,11,7
ag,2004,12,16
ag,2004,13,14
ag,2004,14,16
ag,2004,15,5
ag,2004,16,2
ag,2004,17,6
ag,2004,18,5
ag,2004,19,4
ag,2004,20,3
ag,2004,21,4
ag,2004,22,16
ag,2004,23,8
ag,2004,24,7
ag,2004,25,10
ag,2004,26,14
ag,2004,27,7
ag,2004,28,9
ag,2004,29,11
ag,2004,30,23
ag,2004,31,17
ag,2004,32,19
ag,2004,33,24
ag,2004,34,17
ag,2004,35,28
ag,2004,36,40
ag,2004,37,33
ag,2004,38,31
ag,2004,39,33
ag,2004,40,29
ag,2004,41,30
ag,2004,42,36
ag,2004,43,48
ag,2004,44,40
ag,2004,45,28
ag,2004,46,36
ag,2004,47,19
ag,2004,48,34
ag,2004,49,23
ag,2004,50,17
ag,2004,51,17
ag,2005,1,23
ag,2005,2,14
ag,2005,3,20
ag,2005,4,13
ag,2005,5,23
ag,2005,6,20
ag,2005,7,16
ag,2005,8,16
ag,2005,9,23
ag,2005,10,14
ag,2005,11,15
ag,2005,12,4
ag,2005,13,5
ag,2005,14,5
ag,2005,15,11
ag,2005,16,11
ag,2005,17,7
ag,2005,18,4
ag,2005,19,6
ag,2005,20,5
ag,2005,21,2
ag,2005,22,4
ag,2005,23,2
ag,2005,24,4
ag,2005,25,6
ag,2005,26,6
ag,2005,27,4
ag,2005,28,6
ag,2005,29,11
ag,2005,30,16
ag,2005,31,9
ag,2005,32,12
ag,2005,33,13
ag,2005,34,27
ag,2005,35,21
ag,2005,36,19
ag,2005,37,17
ag,2005,38,24
ag,2005,39,27
ag,2005,40,30
ag,2005,41,29
ag,2005,42,25
ag,2005,43,35
ag,2005,44,33
ag,2005,45,30
ag,2005,46,29
ag,2005,47,31
ag,2005,48,29
ag,2005,49,22
ag,2005,50,27
ag,2005,51,24
ag,2005,52,26
ag,2006,1,29
ag,2006,2,22
ag,2006,3,33
ag,2006,4,24
ag,2006,5,30
ag,2006,6,20
ag,2006,7,17
ag,2006,8,24
ag,2006,9,28
ag,2006,10,18
ag,2006,11,13
ag,2006,12,9
ag,2006,13,14
ag,2006,14,11
ag,2006,15,11
ag,2006,16,19
ag,2006,17,10
ag,2006,18,8
ag,2006,19,8
ag,2006,20,9
ag,2006,21,3
ag,2006,22,7
ag,2006,23,14
ag,2006,24,4
ag,2006,25,9
ag,2006,26,14
ag,2006,27,7
ag,2006,28,9
ag,2006,29,3
ag,2006,30,3
ag,2006,31,14
ag,2006,32,12
ag,2006,33,10
ag,2006,34,21
ag,2006,35,26
ag,2006,36,47
ag,2006,37,42
ag,2006,38,31
ag,2006,39,34
ag,2006,40,33
ag,2006,41,52
ag,2006,42,56
ag,2006,43,70
ag,2006,44,112
ag,2006,45,70
ag,2006,46,47
ag,2006,47,48
ag,2006,48,49
ag,2006,49,66
ag,2006,50,56
ag,2006,51,61
ag,2006,52,67
ag,2007,1,64
ag,2007,2,68
ag,2007,3,49
ag,2007,4,50
ag,2007,5,56
ag,2007,6,75
ag,2007,7,63
ag,2007,8,62
ag,2007,9,41
ag,2007,10,50
